COD,start,AREA,PopupText,Count_start,IsMax,start_date
ATZARA_68,2019-01,ATZARA,COD: ATZARA_68 <br> ChangeDate: ,1,Max,2019-01-01
FUNTANA_SASSA_100,2021-01,FUNTANA_SASSA,COD: FUNTANA_SASSA_100 <br> ChangeDate: ,14,Max,2021-01-01
FUNTANA_SASSA_101,2021-01,FUNTANA_SASSA,COD: FUNTANA_SASSA_101 <br> ChangeDate: ,14,Max,2021-01-01
FUNTANA_SASSA_102,2020-07,FUNTANA_SASSA,COD: FUNTANA_SASSA_102 <br> ChangeDate: ,9,NotMax,2020-07-01
FUNTANA_SASSA_104,2021-01,FUNTANA_SASSA,COD: FUNTANA_SASSA_104 <br> ChangeDate: ,14,Max,2021-01-01
FUNTANA_SASSA_105,2020-10,FUNTANA_SASSA,COD: FUNTANA_SASSA_105 <br> ChangeDate: ,6,NotMax,2020-10-01
FUNTANA_SASSA_108,2020-10,FUNTANA_SASSA,COD: FUNTANA_SASSA_108 <br> ChangeDate: ,6,NotMax,2020-10-01
FUNTANA_SASSA_114,2020-07,FUNTANA_SASSA,COD: FUNTANA_SASSA_114 <br> ChangeDate: ,9,NotMax,2020-07-01
FUNTANA_SASSA_125,2021-04,FUNTANA_SASSA,COD: FUNTANA_SASSA_125 <br> ChangeDate: ,9,NotMax,2021-04-01
FUNTANA_SASSA_128,2021-04,FUNTANA_SASSA,COD: FUNTANA_SASSA_128 <br> ChangeDate: ,9,NotMax,2021-04-01
FUNTANA_SASSA_130,2021-04,FUNTANA_SASSA,COD: FUNTANA_SASSA_130 <br> ChangeDate: ,9,NotMax,2021-04-01
FUNTANA_SASSA_132,2021-01,FUNTANA_SASSA,COD: FUNTANA_SASSA_132 <br> ChangeDate: ,14,Max,2021-01-01
FUNTANA_SASSA_14,2021-01,FUNTANA_SASSA,COD: FUNTANA_SASSA_14 <br> ChangeDate: ,14,Max,2021-01-01
FUNTANA_SASSA_143,2021-04,FUNTANA_SASSA,COD: FUNTANA_SASSA_143 <br> ChangeDate: ,9,NotMax,2021-04-01
FUNTANA_SASSA_148,2020-10,FUNTANA_SASSA,COD: FUNTANA_SASSA_148 <br> ChangeDate: ,6,NotMax,2020-10-01
FUNTANA_SASSA_16,2021-01,FUNTANA_SASSA,COD: FUNTANA_SASSA_16 <br> ChangeDate: ,14,Max,2021-01-01
FUNTANA_SASSA_17,2020-07,FUNTANA_SASSA,COD: FUNTANA_SASSA_17 <br> ChangeDate: ,9,NotMax,2020-07-01
FUNTANA_SASSA_18,2021-01,FUNTANA_SASSA,COD: FUNTANA_SASSA_18 <br> ChangeDate: ,14,Max,2021-01-01
FUNTANA_SASSA_2,2021-01,FUNTANA_SASSA,COD: FUNTANA_SASSA_2 <br> ChangeDate: ,14,Max,2021-01-01
FUNTANA_SASSA_20,2021-01,FUNTANA_SASSA,COD: FUNTANA_SASSA_20 <br> ChangeDate: ,14,Max,2021-01-01
FUNTANA_SASSA_3,2021-01,FUNTANA_SASSA,COD: FUNTANA_SASSA_3 <br> ChangeDate: ,14,Max,2021-01-01
FUNTANA_SASSA_35,2020-07,FUNTANA_SASSA,COD: FUNTANA_SASSA_35 <br> ChangeDate: ,9,NotMax,2020-07-01
FUNTANA_SASSA_36,2021-04,FUNTANA_SASSA,COD: FUNTANA_SASSA_36 <br> ChangeDate: ,9,NotMax,2021-04-01
FUNTANA_SASSA_37,2021-04,FUNTANA_SASSA,COD: FUNTANA_SASSA_37 <br> ChangeDate: ,9,NotMax,2021-04-01
FUNTANA_SASSA_44,2021-01,FUNTANA_SASSA,COD: FUNTANA_SASSA_44 <br> ChangeDate: ,14,Max,2021-01-01
FUNTANA_SASSA_48,2020-07,FUNTANA_SASSA,COD: FUNTANA_SASSA_48 <br> ChangeDate: ,9,NotMax,2020-07-01
FUNTANA_SASSA_5,2021-01,FUNTANA_SASSA,COD: FUNTANA_SASSA_5 <br> ChangeDate: ,14,Max,2021-01-01
FUNTANA_SASSA_50,2020-07,FUNTANA_SASSA,COD: FUNTANA_SASSA_50 <br> ChangeDate: ,9,NotMax,2020-07-01
FUNTANA_SASSA_55,2020-10,FUNTANA_SASSA,COD: FUNTANA_SASSA_55 <br> ChangeDate: ,6,NotMax,2020-10-01
FUNTANA_SASSA_6,2021-04,FUNTANA_SASSA,COD: FUNTANA_SASSA_6 <br> ChangeDate: ,9,NotMax,2021-04-01
FUNTANA_SASSA_60,2021-04,FUNTANA_SASSA,COD: FUNTANA_SASSA_60 <br> ChangeDate: ,9,NotMax,2021-04-01
FUNTANA_SASSA_8,2020-07,FUNTANA_SASSA,COD: FUNTANA_SASSA_8 <br> ChangeDate: ,9,NotMax,2020-07-01
FUNTANA_SASSA_80,2020-07,FUNTANA_SASSA,COD: FUNTANA_SASSA_80 <br> ChangeDate: ,9,NotMax,2020-07-01
FUNTANA_SASSA_81,2020-10,FUNTANA_SASSA,COD: FUNTANA_SASSA_81 <br> ChangeDate: ,6,NotMax,2020-10-01
FUNTANA_SASSA_82,2021-01,FUNTANA_SASSA,COD: FUNTANA_SASSA_82 <br> ChangeDate: ,14,Max,2021-01-01
FUNTANA_SASSA_91,2021-04,FUNTANA_SASSA,COD: FUNTANA_SASSA_91 <br> ChangeDate: ,9,NotMax,2021-04-01
FUNTANA_SASSA_92,2020-07,FUNTANA_SASSA,COD: FUNTANA_SASSA_92 <br> ChangeDate: ,9,NotMax,2020-07-01
FUNTANA_SASSA_93,2020-10,FUNTANA_SASSA,COD: FUNTANA_SASSA_93 <br> ChangeDate: ,6,NotMax,2020-10-01
FUNTANA_SASSA_95,2021-01,FUNTANA_SASSA,COD: FUNTANA_SASSA_95 <br> ChangeDate: ,14,Max,2021-01-01
ISCALA_ERVEGHE_127,2019-10,ISCALA_ERVEGHE,COD: ISCALA_ERVEGHE_127 <br> ChangeDate: ,1,NotMax,2019-10-01
ISCALA_ERVEGHE_75,2019-01,ISCALA_ERVEGHE,COD: ISCALA_ERVEGHE_75 <br> ChangeDate: ,1,NotMax,2019-01-01
ISCALA_ERVEGHE_76,2021-01,ISCALA_ERVEGHE,COD: ISCALA_ERVEGHE_76 <br> ChangeDate: ,3,Max,2021-01-01
ISCALA_ERVEGHE_89,2021-01,ISCALA_ERVEGHE,COD: ISCALA_ERVEGHE_89 <br> ChangeDate: ,3,Max,2021-01-01
ISCALA_ERVEGHE_90,2021-01,ISCALA_ERVEGHE,COD: ISCALA_ERVEGHE_90 <br> ChangeDate: ,3,Max,2021-01-01
ISCALA_ERVEGHE_92,2020-10,ISCALA_ERVEGHE,COD: ISCALA_ERVEGHE_92 <br> ChangeDate: ,2,NotMax,2020-10-01
ISCALA_ERVEGHE_97,2020-10,ISCALA_ERVEGHE,COD: ISCALA_ERVEGHE_97 <br> ChangeDate: ,2,NotMax,2020-10-01
MAGRINA_E_FIGU_19,2020-01,MAGRINA_E_FIGU,COD: MAGRINA_E_FIGU_19 <br> ChangeDate: ,5,Max,2020-01-01
MAGRINA_E_FIGU_21,2020-01,MAGRINA_E_FIGU,COD: MAGRINA_E_FIGU_21 <br> ChangeDate: ,5,Max,2020-01-01
MAGRINA_E_FIGU_22,2020-01,MAGRINA_E_FIGU,COD: MAGRINA_E_FIGU_22 <br> ChangeDate: ,5,Max,2020-01-01
MAGRINA_E_FIGU_58,2020-01,MAGRINA_E_FIGU,COD: MAGRINA_E_FIGU_58 <br> ChangeDate: ,5,Max,2020-01-01
MAGRINA_E_FIGU_63,2020-01,MAGRINA_E_FIGU,COD: MAGRINA_E_FIGU_63 <br> ChangeDate: ,5,Max,2020-01-01
MAGRINA_E_FIGU_8,2021-04,MAGRINA_E_FIGU,COD: MAGRINA_E_FIGU_8 <br> ChangeDate: ,1,NotMax,2021-04-01
MONTE_SCUCCURAU_112,2021-10,MONTE_SCUCCURAU,COD: MONTE_SCUCCURAU_112 <br> ChangeDate: ,1,NotMax,2021-10-01
MONTE_SCUCCURAU_150,2021-04,MONTE_SCUCCURAU,COD: MONTE_SCUCCURAU_150 <br> ChangeDate: ,1,NotMax,2021-04-01
MONTE_SCUCCURAU_172,2021-01,MONTE_SCUCCURAU,COD: MONTE_SCUCCURAU_172 <br> ChangeDate: ,4,Max,2021-01-01
MONTE_SCUCCURAU_180,2021-01,MONTE_SCUCCURAU,COD: MONTE_SCUCCURAU_180 <br> ChangeDate: ,4,Max,2021-01-01
MONTE_SCUCCURAU_20,2020-07,MONTE_SCUCCURAU,COD: MONTE_SCUCCURAU_20 <br> ChangeDate: ,2,NotMax,2020-07-01
MONTE_SCUCCURAU_35,2021-01,MONTE_SCUCCURAU,COD: MONTE_SCUCCURAU_35 <br> ChangeDate: ,4,Max,2021-01-01
MONTE_SCUCCURAU_47,2020-04,MONTE_SCUCCURAU,COD: MONTE_SCUCCURAU_47 <br> ChangeDate: ,1,NotMax,2020-04-01
MONTE_SCUCCURAU_64,2021-01,MONTE_SCUCCURAU,COD: MONTE_SCUCCURAU_64 <br> ChangeDate: ,4,Max,2021-01-01
MONTE_SCUCCURAU_78,2020-07,MONTE_SCUCCURAU,COD: MONTE_SCUCCURAU_78 <br> ChangeDate: ,2,NotMax,2020-07-01
ORTERI1_27,2020-01,ORTERI1,COD: ORTERI1_27 <br> ChangeDate: ,2,Max,2020-01-01
ORTERI1_28,2020-01,ORTERI1,COD: ORTERI1_28 <br> ChangeDate: ,2,Max,2020-01-01
ORTERI1_52,2019-10,ORTERI1,COD: ORTERI1_52 <br> ChangeDate: ,1,NotMax,2019-10-01
ORTERI2_15,2020-01,ORTERI2,COD: ORTERI2_15 <br> ChangeDate: ,7,NotMax,2020-01-01
ORTERI2_22,2019-10,ORTERI2,COD: ORTERI2_22 <br> ChangeDate: ,9,Max,2019-10-01
ORTERI2_25,2019-10,ORTERI2,COD: ORTERI2_25 <br> ChangeDate: ,9,Max,2019-10-01
ORTERI2_36,2021-01,ORTERI2,COD: ORTERI2_36 <br> ChangeDate: ,7,NotMax,2021-01-01
ORTERI2_37,2021-01,ORTERI2,COD: ORTERI2_37 <br> ChangeDate: ,7,NotMax,2021-01-01
ORTERI2_42,2019-10,ORTERI2,COD: ORTERI2_42 <br> ChangeDate: ,9,Max,2019-10-01
ORTERI2_43,2019-10,ORTERI2,COD: ORTERI2_43 <br> ChangeDate: ,9,Max,2019-10-01
ORTERI2_45,2019-10,ORTERI2,COD: ORTERI2_45 <br> ChangeDate: ,9,Max,2019-10-01
ORTERI2_47,2019-10,ORTERI2,COD: ORTERI2_47 <br> ChangeDate: ,9,Max,2019-10-01
ORTERI2_48,2020-01,ORTERI2,COD: ORTERI2_48 <br> ChangeDate: ,7,NotMax,2020-01-01
ORTERI2_49,2020-04,ORTERI2,COD: ORTERI2_49 <br> ChangeDate: ,7,NotMax,2020-04-01
ORTERI2_50,2020-04,ORTERI2,COD: ORTERI2_50 <br> ChangeDate: ,7,NotMax,2020-04-01
ORTERI2_51,2020-04,ORTERI2,COD: ORTERI2_51 <br> ChangeDate: ,7,NotMax,2020-04-01
ORTERI2_52,2020-01,ORTERI2,COD: ORTERI2_52 <br> ChangeDate: ,7,NotMax,2020-01-01
ORTERI2_53,2020-01,ORTERI2,COD: ORTERI2_53 <br> ChangeDate: ,7,NotMax,2020-01-01
ORTERI2_55,2021-01,ORTERI2,COD: ORTERI2_55 <br> ChangeDate: ,7,NotMax,2021-01-01
ORTERI2_56,2020-10,ORTERI2,COD: ORTERI2_56 <br> ChangeDate: ,2,NotMax,2020-10-01
ORTERI2_57,2020-01,ORTERI2,COD: ORTERI2_57 <br> ChangeDate: ,7,NotMax,2020-01-01
ORTERI2_59,2020-10,ORTERI2,COD: ORTERI2_59 <br> ChangeDate: ,2,NotMax,2020-10-01
ORTERI2_60,2021-01,ORTERI2,COD: ORTERI2_60 <br> ChangeDate: ,7,NotMax,2021-01-01
ORTERI2_61,2020-04,ORTERI2,COD: ORTERI2_61 <br> ChangeDate: ,7,NotMax,2020-04-01
ORTERI2_63,2021-01,ORTERI2,COD: ORTERI2_63 <br> ChangeDate: ,7,NotMax,2021-01-01
ORTERI2_64,2020-07,ORTERI2,COD: ORTERI2_64 <br> ChangeDate: ,4,NotMax,2020-07-01
ORTERI2_65,2019-10,ORTERI2,COD: ORTERI2_65 <br> ChangeDate: ,9,Max,2019-10-01
ORTERI2_67,2020-01,ORTERI2,COD: ORTERI2_67 <br> ChangeDate: ,7,NotMax,2020-01-01
ORTERI2_7,2019-10,ORTERI2,COD: ORTERI2_7 <br> ChangeDate: ,9,Max,2019-10-01
ORTERI2_73,2020-04,ORTERI2,COD: ORTERI2_73 <br> ChangeDate: ,7,NotMax,2020-04-01
ORTERI2_74,2020-07,ORTERI2,COD: ORTERI2_74 <br> ChangeDate: ,4,NotMax,2020-07-01
ORTERI2_76,2021-01,ORTERI2,COD: ORTERI2_76 <br> ChangeDate: ,7,NotMax,2021-01-01
ORTERI2_83,2020-04,ORTERI2,COD: ORTERI2_83 <br> ChangeDate: ,7,NotMax,2020-04-01
ORTERI2_87,2019-10,ORTERI2,COD: ORTERI2_87 <br> ChangeDate: ,9,Max,2019-10-01
ORTERI2_89,2020-07,ORTERI2,COD: ORTERI2_89 <br> ChangeDate: ,4,NotMax,2020-07-01
ORTERI2_90,2020-01,ORTERI2,COD: ORTERI2_90 <br> ChangeDate: ,7,NotMax,2020-01-01
ORTERI2_92,2021-01,ORTERI2,COD: ORTERI2_92 <br> ChangeDate: ,7,NotMax,2021-01-01
ORTERI2_95,2020-07,ORTERI2,COD: ORTERI2_95 <br> ChangeDate: ,4,NotMax,2020-07-01
ORTERI2_98,2020-04,ORTERI2,COD: ORTERI2_98 <br> ChangeDate: ,7,NotMax,2020-04-01
PARDU_LETTE_104,2019-10,PARDU_LETTE,COD: PARDU_LETTE_104 <br> ChangeDate: ,5,NotMax,2019-10-01
PARDU_LETTE_107,2020-01,PARDU_LETTE,COD: PARDU_LETTE_107 <br> ChangeDate: ,8,NotMax,2020-01-01
PARDU_LETTE_16,2020-01,PARDU_LETTE,COD: PARDU_LETTE_16 <br> ChangeDate: ,8,NotMax,2020-01-01
PARDU_LETTE_41,2021-01,PARDU_LETTE,COD: PARDU_LETTE_41 <br> ChangeDate: ,10,Max,2021-01-01
PARDU_LETTE_42,2019-10,PARDU_LETTE,COD: PARDU_LETTE_42 <br> ChangeDate: ,5,NotMax,2019-10-01
PARDU_LETTE_45,2021-01,PARDU_LETTE,COD: PARDU_LETTE_45 <br> ChangeDate: ,10,Max,2021-01-01
PARDU_LETTE_47,2020-01,PARDU_LETTE,COD: PARDU_LETTE_47 <br> ChangeDate: ,8,NotMax,2020-01-01
PARDU_LETTE_48,2019-10,PARDU_LETTE,COD: PARDU_LETTE_48 <br> ChangeDate: ,5,NotMax,2019-10-01
PARDU_LETTE_49,2021-01,PARDU_LETTE,COD: PARDU_LETTE_49 <br> ChangeDate: ,10,Max,2021-01-01
PARDU_LETTE_50,2021-01,PARDU_LETTE,COD: PARDU_LETTE_50 <br> ChangeDate: ,10,Max,2021-01-01
PARDU_LETTE_53,2021-01,PARDU_LETTE,COD: PARDU_LETTE_53 <br> ChangeDate: ,10,Max,2021-01-01
PARDU_LETTE_55,2021-04,PARDU_LETTE,COD: PARDU_LETTE_55 <br> ChangeDate: ,1,NotMax,2021-04-01
PARDU_LETTE_57,2021-01,PARDU_LETTE,COD: PARDU_LETTE_57 <br> ChangeDate: ,10,Max,2021-01-01
PARDU_LETTE_60,2021-01,PARDU_LETTE,COD: PARDU_LETTE_60 <br> ChangeDate: ,10,Max,2021-01-01
PARDU_LETTE_65,2020-10,PARDU_LETTE,COD: PARDU_LETTE_65 <br> ChangeDate: ,1,NotMax,2020-10-01
PARDU_LETTE_66,2020-01,PARDU_LETTE,COD: PARDU_LETTE_66 <br> ChangeDate: ,8,NotMax,2020-01-01
PARDU_LETTE_67,2021-07,PARDU_LETTE,COD: PARDU_LETTE_67 <br> ChangeDate: ,2,NotMax,2021-07-01
